driverId,week,hours-logged,miles-logged
551,1,71,600
33,35,72,400
531,12,59,2300
728,18,78,3200
579,18,68,1300
686,2,75,2300
930,22,55,1000
776,51,69,2800
131,18,72,700
505,51,58,2800
502,4,62,2200
616,43,53,300
305,24,70,2300
923,35,74,800
392,42,74,1400
975,22,58,2400
918,48,51,600
64,24,68,800
756,6,73,2400
889,20,56,2400
471,3,53,1800
621,31,60,1100
838,25,67,3600
659,15,79,1300
226,51,63,3100
631,21,68,2500
861,10,80,3100
680,16,54,1900
548,22,60,400
355,46,66,1300
995,41,50,1700
183,21,64,2300
776,33,79,3300
824,47,50,600
380,16,58,1200
465,31,68,3000
241,35,66,1300
298,1,63,600
948,49,51,1200
226,10,67,4000
267,34,62,2600
897,5,70,1900
774,28,76,2000
532,52,70,2400
787,18,58,1900
634,32,74,1000
736,29,59,500
132,43,78,500
568,23,74,3100
500,14,66,1100
93,9,77,3300
473,31,67,600
962,35,69,500
297,14,72,900
1003,39,69,2200
115,3,64,1500
699,24,64,400
988,41,68,1100
230,47,62,4000
61,31,79,2400
415,10,62,2400
56,2,70,2500
413,18,80,2700
412,47,52,2100
387,42,59,1700
861,41,65,500
285,27,67,1700
565,31,76,200
438,1,76,1100
83,45,80,1200
76,7,62,3800
466,45,76,2000
902,27,77,100
30,40,61,1200
62,11,59,100
998,48,59,700
929,10,80,600
332,2,72,400
980,45,54,1800
146,30,77,3200
815,25,68,1900
244,49,66,2900
140,7,55,1600
836,52,78,3500
750,6,71,2800
777,19,71,1700
774,49,70,3400
792,2,60,1300
680,6,79,2900
395,12,64,100
661,25,64,1000
57,38,50,3500
569,9,68,600
641,31,58,1900
741,37,76,2800
146,32,75,2100
236,20,78,2400
975,41,54,2200
732,51,65,1000
100,10,62,3800
555,40,64,200
262,20,65,3400
294,13,74,300
638,19,74,2800
973,44,73,600
514,4,74,300
861,2,73,3800
630,30,67,2200
647,11,56,4000
476,39,53,1000
587,14,59,2900
174,40,78,1000
865,37,67,2000
194,9,56,2400
727,19,71,500
624,34,79,2300
860,40,64,0
601,25,75,2100
445,9,62,3300
311,18,58,1400
520,20,67,2200
934,11,66,2700
627,9,52,2400
454,1,61,3500
606,25,75,1500
656,49,64,300
851,12,72,2500
93,24,57,1800
527,35,73,2400
52,4,72,100
148,37,76,2300
341,6,80,1200
149,12,51,2100
150,3,76,1700
684,20,73,0
857,30,60,2900
38,14,66,3300
921,33,53,500
559,30,54,2200
683,45,72,1900
820,8,53,3900
202,42,77,100
595,31,65,2400
23,19,59,1800
656,50,71,2500
661,24,59,1800
327,19,68,2500
476,33,56,200
778,7,62,2400
382,45,65,1900
866,21,78,4000
93,5,50,1000
516,40,56,1100
248,42,61,3600
351,3,58,2000
378,34,69,3700
973,47,66,2700
40,5,80,1900
654,24,56,1100
621,48,58,3600
950,50,65,600
547,45,52,800
683,11,70,2500
918,47,66,3600
452,5,50,2300
563,3,54,200
547,14,54,1100
804,44,78,2400
289,49,63,200
89,18,72,2400
628,25,65,1000
579,25,67,800
815,35,54,2200
678,2,56,1000
50,1,56,400
87,16,73,2300
511,7,80,1200
976,34,52,1500
598,41,74,3200
924,22,75,3000
541,5,68,800
856,17,55,300
649,39,56,900
957,20,51,2200
265,29,57,2700
761,49,59,3500
59,14,74,3100
264,10,56,300
852,36,53,400
56,5,78,0
187,2,52,3400
756,2,66,4000
664,14,50,300
227,12,56,800
857,43,69,100
38,29,78,2900
483,40,74,500
607,25,57,3300
752,44,56,2000
770,6,71,2800
383,52,80,700
577,29,52,2600
416,42,78,2000
593,46,59,1200
455,47,60,2800
613,23,73,3000
839,17,76,100
35,26,80,600
856,6,53,500
891,17,63,2200
306,9,52,3800
648,44,52,2000
591,30,61,3400
585,49,70,1800
879,47,52,3400
841,18,64,3500
442,21,69,200
139,19,70,2000
431,13,69,3500
186,21,71,4000
177,18,74,2000
287,36,78,2400
187,40,58,3800
456,4,56,2500
361,45,71,2500
592,32,56,300
291,16,76,4000
650,51,80,3300
777,2,50,3400
884,10,60,400
587,10,56,1700
661,51,52,1900
384,10,75,800
470,28,78,3600
222,3,70,3800
345,31,53,2600
590,44,80,3100
121,9,70,4000
440,48,80,1200
220,11,56,3200
656,40,51,1500
668,34,71,2000
199,2,78,3500
577,22,64,3300
798,49,61,1600
420,23,51,3300
210,19,55,2100
243,11,51,3300
192,7,51,2800
148,37,67,1100
511,40,52,1600
397,43,63,700
772,33,77,3800
672,31,61,0
554,50,55,1000
846,21,63,3700
16,39,79,500
868,46,65,1600
500,44,62,1100
437,17,64,3300
905,7,60,1200
23,34,68,700
352,11,52,1900
720,9,79,3800
285,46,80,3000
423,2,51,800
611,35,75,1100
332,21,80,2100
724,1,79,600
970,5,59,1100
452,50,79,2100
501,48,54,1400
743,11,80,1700
328,9,66,2200
387,47,52,3100
852,23,74,2100
319,38,50,2700
870,36,53,1900
233,38,66,800
918,49,71,3200
395,45,68,3800
733,6,61,4000
246,7,68,2200
197,5,74,1300
444,46,54,1500
840,41,57,1300
600,26,70,2300
504,43,78,500
185,25,67,800
1001,29,70,800
988,47,59,3100
610,13,59,3500
401,41,78,1900
337,15,69,1300
648,3,50,2200
709,6,64,1700
814,20,65,600
38,11,56,3800
198,16,61,500
233,8,57,3100
1005,33,55,0
678,42,71,200
700,23,52,900
407,51,50,3600
640,18,54,1600
828,8,77,3000
76,50,58,1000
700,29,51,400
534,48,61,1900
321,18,64,2700
1005,22,59,2200
636,5,78,1900
798,46,56,3000
972,13,61,2400
124,6,58,3600
751,30,73,1800
573,33,60,2700
573,17,55,1800
321,6,76,3300
236,39,57,3900
283,10,76,3000
856,34,55,3200
938,48,70,3600
150,23,56,2100
750,33,55,3900
931,25,65,3800
851,46,73,500
439,3,66,300
421,18,56,1300
1005,38,63,2400
223,4,71,100
684,6,79,1500
918,20,58,100
892,39,50,1200
748,41,51,1800
261,2,67,2700
812,8,52,1900
867,38,72,0
541,7,73,1300
189,11,76,1400
122,25,56,1700
334,39,73,300
438,49,75,0
631,52,59,100
584,38,52,2200
188,18,64,3800
137,25,56,3500
416,46,61,3300
83,45,56,100
504,22,76,400
196,3,68,200
769,30,63,3600
419,6,76,2600
445,44,57,3300
906,46,51,600
287,18,50,0
537,2,73,800
587,21,53,900
834,52,61,1900
169,17,52,1400
528,15,54,1900
323,26,70,900
691,43,69,300
208,4,68,3300
253,3,69,300
1003,12,57,2000
144,27,70,4000
687,6,67,900
778,15,77,4000
425,27,66,3700
11,10,59,2500
701,21,58,2400
973,7,63,400
791,1,62,2800
811,19,53,1800
94,45,55,3000
237,18,55,2600
889,39,71,1800
453,35,52,700
416,45,80,300
220,23,64,2200
335,35,69,3900
510,8,67,200
390,41,65,100
86,7,73,900
588,2,77,2200
684,39,74,3100
247,33,57,3600
800,22,77,200
271,38,68,3500
159,26,64,2800
939,37,59,1800
709,41,55,3900
13,20,57,2300
926,15,72,3300
998,28,73,2700
544,20,74,1500
246,4,57,2900
781,30,69,3600
622,11,54,3200
402,39,72,1100
901,45,75,1600
349,51,72,3700
962,19,58,1900
367,49,52,1500
865,38,57,800
232,27,76,1600
445,37,60,700
775,15,52,3300
374,16,65,1800
543,21,68,2400
706,3,74,2400
44,16,57,3400
754,48,65,2900
217,43,52,1300
717,30,65,3900
335,33,59,1300
947,26,76,1000
516,34,69,3700
50,1,61,1500
261,13,55,1300
19,37,76,400
682,8,61,3000
198,27,58,500
80,15,63,3000
692,51,50,900
517,14,76,3600
573,51,61,2300
769,26,64,3000
95,41,80,3400
488,14,50,1000
116,40,71,1200
172,44,54,4000
